Timestamp,MAC Address,Channel,DS Channel,HT Capabilities,Extended Capabilities,Vendor Specific Tags,SSID,Supported Rates,Extended Supported Rates,VHT Capabilities,HE Capabilities,Length,Label
1622471140.707933,3e:9c:0b:18:40:b2,6,11,214017ff00000000000000000000000000000000000000000000,0400088400000040,0017f20a00010400000000,,02040b16,0c1218243048606c,,,156,iPhone6_N
1622471140.707949,3e:9c:0b:18:40:b2,11,11,214017ff00000000000000000000000000000000000000000000,0400088400000040,0017f20a00010400000000,,02040b16,0c1218243048606c,,,156,iPhone6_N
1622471140.72904,3e:9c:0b:18:40:b2,6,11,214017ff00000000000000000000000000000000000000000000,0400088400000040,0017f20a00010400000000,,02040b16,0c1218243048606c,,,156,iPhone6_N
1622471140.729056,3e:9c:0b:18:40:b2,11,11,214017ff00000000000000000000000000000000000000000000,0400088400000040,0017f20a00010400000000,,02040b16,0c1218243048606c,,,156,iPhone6_N
1622471140.751748,3e:9c:0b:18:40:b2,11,12,214017ff00000000000000000000000000000000000000000000,0400088400000040,0017f20a00010400000000,,02040b16,0c1218243048606c,,,156,iPhone6_N
1622471140.77177,3e:9c:0b:18:40:b2,11,12,214017ff00000000000000000000000000000000000000000000,0400088400000040,0017f20a00010400000000,,02040b16,0c1218243048606c,,,156,iPhone6_N
1622471140.79295,3e:9c:0b:18:40:b2,11,13,214017ff00000000000000000000000000000000000000000000,0400088400000040,0017f20a00010400000000,,02040b16,0c1218243048606c,,,156,iPhone6_N
1622471140.813354,3e:9c:0b:18:40:b2,11,13,214017ff00000000000000000000000000000000000000000000,0400088400000040,0017f20a00010400000000,,02040b16,0c1218243048606c,,,156,iPhone6_N
1622471140.835567,3e:9c:0b:18:40:b2,6,1,214017ff00000000000000000000000000000000000000000000,0400088400000040,0017f20a00010400000000,,02040b16,0c1218243048606c,,,156,iPhone6_N
1622471140.83558,3e:9c:0b:18:40:b2,1,1,214017ff00000000000000000000000000000000000000000000,0400088400000040,0017f20a00010400000000,,02040b16,0c1218243048606c,,,144,iPhone6_N
1622471140.85566,3e:9c:0b:18:40:b2,6,1,214017ff00000000000000000000000000000000000000000000,0400088400000040,0017f20a00010400000000,,02040b16,0c1218243048606c,,,156,iPhone6_N
